batch_id	batch_name	cond	cell_nm	f_no_digestion	mean_f_fend_dup	max_chrom_cov_abber	f_trans	trans_align	total_contacts	cis_ab_comp	trans_ab_comp	passed_qc	mean_insu	ord	group	f_mitotic_band	f_near_band	far_mu	repli_score
1	1CDS1_2812	1CDS1	1CDS1_1	0.245257726	0.052991555	0.297163792	0.077299182	0.265317077	381438	0.088789833	-0.020944746	1	2.390665753	126	G1	0.150184613	0.57758421	28469438.74	1.037785324
1	1CDS1_2812	1CDS1	1CDS1_2	0.229884372	0.040037971	0.127542521	0.104484281	0.25056995	167853	0.111142568	0.07082617	1	2.395663901	289	early-S	0.113313366	0.702134768	27887964.14	1.172367565
1	1CDS1_2812	1CDS1	1CDS1_3	0.276428485	0.079565209	0.51227635	0.110183882	0.289460783	41220	0.129155964	0.029688841	1	2.407914394	295	early-S	0.139482741	0.674210032	22360427.56	1.242134854
1	1CDS1_2812	1CDS1	1CDS1_4	0.300191696	0.042693416	0.262046246	0.077540815	0.454469688	128383	0.181511037	0.105225751	1	2.439003732	520	early-S	0.098431393	0.785523547	21581198.15	1.378883203
1	1CDS1_2812	1CDS1	1CDS1_5	0.34924218	0.132423332	0.750465907	0.092231445	0.254133207	49635	0.070988026	0.004881287	1	2.390983578	104	G1	0.152844157	0.587714366	24371135.66	1.039473959
1	1CDS1_2812	1CDS1	1CDS1_6	0.365119852	0.09626194	0.627542696	0.075002896	0.186868458	69064	0.126980895	-0.033892683	1	2.112626677	516	early-S	0.101996689	0.750025339	26282360.9	1.401096325
1	1CDS1_2812	1CDS1	1CDS1_7	0.172359716	0.042770642	0.365322194	0.145719044	0.177209094	20416	0.102144918	-0.00538483	1	2.207344956	519	early-S	0.089870526	0.790651181	24558858.57	1.35178447
1	1CDS1_2812	1CDS1	1CDS1_8	0.265843262	0.039501885	0.169667477	0.068261364	0.306085098	187998	0.190675324	0.006889811	1	2.153578257	736	late-S/G2	0.090408788	0.823784816	20849442.32	1.09996565
1	1CDS1_2812	1CDS1	1CDS1_9	0.2145608	0.035944695	0.545832583	0.104491739	0.323543834	176434	0.177932747	0.031630648	1	2.449853394	272	early-S	0.136042833	0.687681143	24874914.04	1.17414102
1	1CDS1_2812	1CDS1	1CDS1_11	0.267944044	0.055822159	0.524073854	0.066368059	0.3366086	62288	0.070897575	0.057695854	1	2.17387971	24	G1	0.249707515	0.471846408	16180392.78	1.124136246
