cond	cell_nm	ord	group	Loop_set	Enrichment3	CV5
1CDS1	1CDS1_1	126.0	G1	R1BPeak_All_mm9	1.85	0.47759993597669725
1CDS1	1CDS1_1	126.0	G1	Bonev_ES_CTCF_pairs_+-	1.37	0.0630275731934833
1CDS1	1CDS1_2	289.0	early-S	R1BPeak_All_mm9	2.72	0.4530160915034877
1CDS1	1CDS1_2	289.0	early-S	Bonev_ES_CTCF_pairs_+-	1.38	0.07947944623683788
1CDS1	1CDS1_3	295.0	early-S	R1BPeak_All_mm9	4.09	1.0709672553871266
1CDS1	1CDS1_3	295.0	early-S	Bonev_ES_CTCF_pairs_+-	1.34	0.17462062419997454
1CDS1	1CDS1_4	520.0	early-S	R1BPeak_All_mm9	1.4	0.6668214466664949
1CDS1	1CDS1_4	520.0	early-S	Bonev_ES_CTCF_pairs_+-	1.42	0.07094377932951358
1CDS1	1CDS1_5	104.0	G1	R1BPeak_All_mm9	2.38	1.6541009417003314
1CDS1	1CDS1_5	104.0	G1	Bonev_ES_CTCF_pairs_+-	1.36	0.19665788324496453
1CDS1	1CDS1_6	516.0	early-S	R1BPeak_All_mm9	1.38	1.0120435976860631
1CDS1	1CDS1_6	516.0	early-S	Bonev_ES_CTCF_pairs_+-	1.37	0.11521641916810013
1CDS1	1CDS1_7	519.0	early-S	R1BPeak_All_mm9	4.76	1.9099541556947794
1CDS1	1CDS1_7	519.0	early-S	Bonev_ES_CTCF_pairs_+-	1.43	0.22182151599388278
1CDS1	1CDS1_8	736.0	late-S/G2	R1BPeak_All_mm9	1.58	0.5284911907233315
1CDS1	1CDS1_8	736.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.26	0.05459326814345641
1CDS1	1CDS1_9	272.0	early-S	R1BPeak_All_mm9	1.9	0.5375352045881422
1CDS1	1CDS1_9	272.0	early-S	Bonev_ES_CTCF_pairs_+-	1.36	0.07215847896721608
1CDS1	1CDS1_11	24.0	G1	R1BPeak_All_mm9	2.16	1.0641814706732768
1CDS1	1CDS1_11	24.0	G1	Bonev_ES_CTCF_pairs_+-	1.25	0.13327231235511933
1CDS1	1CDS1_12	191.0	early-S	R1BPeak_All_mm9	2.0	0.7271025681878018
1CDS1	1CDS1_12	191.0	early-S	Bonev_ES_CTCF_pairs_+-	1.29	0.08013199170144872
1CDS1	1CDS1_21	427.0	early-S	R1BPeak_All_mm9	1.57	1.8892944776110652
1CDS1	1CDS1_21	427.0	early-S	Bonev_ES_CTCF_pairs_+-	1.29	0.16103403629304636
1CDS1	1CDS1_23	225.0	early-S	R1BPeak_All_mm9	1.2	0.7118211783184865
1CDS1	1CDS1_23	225.0	early-S	Bonev_ES_CTCF_pairs_+-	1.35	0.078529842686975
1CDS1	1CDS1_24	320.0	early-S	R1BPeak_All_mm9	1.79	1.6836444425991077
1CDS1	1CDS1_24	320.0	early-S	Bonev_ES_CTCF_pairs_+-	1.31	0.18708291031813576
1CDS1	1CDS1_28	132.0	G1	R1BPeak_All_mm9	2.19	0.4665874122414719
1CDS1	1CDS1_28	132.0	G1	Bonev_ES_CTCF_pairs_+-	1.44	0.06305581503826856
1CDS1	1CDS1_32	107.0	G1	R1BPeak_All_mm9	2.47	0.5902358003569359
1CDS1	1CDS1_32	107.0	G1	Bonev_ES_CTCF_pairs_+-	1.38	0.08135704124287378
1CDS1	1CDS1_35	504.0	early-S	R1BPeak_All_mm9	1.61	0.3885492571050293
1CDS1	1CDS1_35	504.0	early-S	Bonev_ES_CTCF_pairs_+-	1.37	0.037412896989908316
1CDS1	1CDS1_36	596.0	late-S/G2	R1BPeak_All_mm9	1.65	0.36114591562569937
1CDS1	1CDS1_36	596.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.35	0.038866398402989784
1CDS1	1CDS1_37	181.0	early-S	R1BPeak_All_mm9	1.4	0.32736402978611523
1CDS1	1CDS1_37	181.0	early-S	Bonev_ES_CTCF_pairs_+-	1.33	0.040400476155049075
1CDS1	1CDS1_42	610.0	late-S/G2	R1BPeak_All_mm9	1.3	0.34726201618313174
1CDS1	1CDS1_42	610.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.34	0.03214798359099019
1CDS1	1CDS1_43	685.0	late-S/G2	R1BPeak_All_mm9	1.64	1.623740737069227
1CDS1	1CDS1_43	685.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.37	0.16159495408409483
1CDS1	1CDS1_45	45.0	G1	R1BPeak_All_mm9	1.46	0.504388960082743
1CDS1	1CDS1_45	45.0	G1	Bonev_ES_CTCF_pairs_+-	1.21	0.08200425685257615
1CDS1	1CDS1_46	391.0	early-S	R1BPeak_All_mm9	1.51	0.3163775203212602
1CDS1	1CDS1_46	391.0	early-S	Bonev_ES_CTCF_pairs_+-	1.33	0.03152900457878543
1CDS1	1CDS1_47	57.0	G1	R1BPeak_All_mm9	2.17	0.3958781396968387
1CDS1	1CDS1_47	57.0	G1	Bonev_ES_CTCF_pairs_+-	1.33	0.04587484862526772
1CDS1	1CDS1_52	247.0	early-S	R1BPeak_All_mm9	1.65	0.48302533081149784
1CDS1	1CDS1_52	247.0	early-S	Bonev_ES_CTCF_pairs_+-	1.31	0.0648336579572229
1CDS1	1CDS1_53	389.0	early-S	R1BPeak_All_mm9	1.57	0.3182105727354357
1CDS1	1CDS1_53	389.0	early-S	Bonev_ES_CTCF_pairs_+-	1.34	0.03954139093600841
1CDS1	1CDS1_54	491.0	early-S	R1BPeak_All_mm9	1.52	0.30239603833674444
1CDS1	1CDS1_54	491.0	early-S	Bonev_ES_CTCF_pairs_+-	1.33	0.03554580843335482
1CDS1	1CDS1_55	193.0	early-S	R1BPeak_All_mm9	1.76	2.0199195030896075
1CDS1	1CDS1_55	193.0	early-S	Bonev_ES_CTCF_pairs_+-	1.32	0.2194386578326898
1CDS1	1CDS1_56	110.0	G1	R1BPeak_All_mm9	2.06	0.436381158187816
1CDS1	1CDS1_56	110.0	G1	Bonev_ES_CTCF_pairs_+-	1.35	0.07165668162361825
1CDS1	1CDS1_57	485.0	early-S	R1BPeak_All_mm9	1.16	0.459202276563466
1CDS1	1CDS1_57	485.0	early-S	Bonev_ES_CTCF_pairs_+-	1.31	0.03711408540324153
1CDS1	1CDS1_63	609.0	late-S/G2	R1BPeak_All_mm9	1.39	0.35103320166150026
1CDS1	1CDS1_63	609.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.32	0.03434269621489532
1CDS1	1CDS1_64	421.0	early-S	R1BPeak_All_mm9	1.77	0.3022340184522089
1CDS1	1CDS1_64	421.0	early-S	Bonev_ES_CTCF_pairs_+-	1.32	0.030460162099134838
1CDS1	1CDS1_65	175.0	early-S	R1BPeak_All_mm9	1.6	0.3999873342664823
1CDS1	1CDS1_65	175.0	early-S	Bonev_ES_CTCF_pairs_+-	1.37	0.04689170700229788
1CDS1	1CDS1_66	325.0	early-S	R1BPeak_All_mm9	1.69	0.3615871648476326
1CDS1	1CDS1_66	325.0	early-S	Bonev_ES_CTCF_pairs_+-	1.3	0.05134786295153469
1CDS1	1CDS1_67	386.0	early-S	R1BPeak_All_mm9	1.71	0.5645993122988114
1CDS1	1CDS1_67	386.0	early-S	Bonev_ES_CTCF_pairs_+-	1.44	0.05255389650909809
1CDS1	1CDS1_72	134.0	G1	R1BPeak_All_mm9	1.23	0.6915199880120305
1CDS1	1CDS1_72	134.0	G1	Bonev_ES_CTCF_pairs_+-	1.29	0.10262322443941223
1CDS1	1CDS1_73	353.0	early-S	R1BPeak_All_mm9	1.32	0.3751518100384025
1CDS1	1CDS1_73	353.0	early-S	Bonev_ES_CTCF_pairs_+-	1.41	0.04834798295819967
1CDS1	1CDS1_74	194.0	early-S	R1BPeak_All_mm9	1.83	0.41772108841694067
1CDS1	1CDS1_74	194.0	early-S	Bonev_ES_CTCF_pairs_+-	1.31	0.04601499661290616
1CDS1	1CDS1_75	46.0	G1	R1BPeak_All_mm9	1.66	0.39100888610446977
1CDS1	1CDS1_75	46.0	G1	Bonev_ES_CTCF_pairs_+-	1.27	0.06564058780269898
1CDS1	1CDS1_76	323.0	early-S	R1BPeak_All_mm9	1.49	0.6226361087717668
1CDS1	1CDS1_76	323.0	early-S	Bonev_ES_CTCF_pairs_+-	1.3	0.06899433001436438
1CDS1	1CDS1_77	563.0	late-S/G2	R1BPeak_All_mm9	1.28	0.32468136525448116
1CDS1	1CDS1_77	563.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.35	0.03552751434526853
1CDS1	1CDS1_82	279.0	early-S	R1BPeak_All_mm9	2.76	1.0151762255608012
1CDS1	1CDS1_82	279.0	early-S	Bonev_ES_CTCF_pairs_+-	1.33	0.14246249097297975
1CDS1	1CDS1_83	326.0	early-S	R1BPeak_All_mm9	1.36	0.32606472795709535
1CDS1	1CDS1_83	326.0	early-S	Bonev_ES_CTCF_pairs_+-	1.33	0.059333360011906644
1CDS1	1CDS1_84	224.0	early-S	R1BPeak_All_mm9	1.68	0.37955731140201515
1CDS1	1CDS1_84	224.0	early-S	Bonev_ES_CTCF_pairs_+-	1.39	0.043073570145175946
1CDS1	1CDS1_85	534.0	late-S/G2	R1BPeak_All_mm9	1.56	0.36227536325578746
1CDS1	1CDS1_85	534.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.41	0.04652392811962562
1CDS1	1CDS1_86	202.0	early-S	R1BPeak_All_mm9	2.16	0.41222561494894105
1CDS1	1CDS1_86	202.0	early-S	Bonev_ES_CTCF_pairs_+-	1.3	0.05181500385462294
1CDS1	1CDS1_91	494.0	early-S	R1BPeak_All_mm9	1.77	0.9238580629347911
1CDS1	1CDS1_91	494.0	early-S	Bonev_ES_CTCF_pairs_+-	1.3	0.11116184317541142
1CDS1	1CDS1_92	127.0	G1	R1BPeak_All_mm9	1.53	0.7717741229281775
1CDS1	1CDS1_92	127.0	G1	Bonev_ES_CTCF_pairs_+-	1.38	0.060795997061350825
1CDS1	1CDS1_93	96.0	G1	R1BPeak_All_mm9	1.49	0.4680431788704955
1CDS1	1CDS1_93	96.0	G1	Bonev_ES_CTCF_pairs_+-	1.34	0.055919567525197375
1CDS1	1CDS1_94	234.0	early-S	R1BPeak_All_mm9	1.98	0.40166255228632636
1CDS1	1CDS1_94	234.0	early-S	Bonev_ES_CTCF_pairs_+-	1.35	0.04341652577297978
1CDS1	1CDS1_95	374.0	early-S	R1BPeak_All_mm9	1.43	0.26105429169960254
1CDS1	1CDS1_95	374.0	early-S	Bonev_ES_CTCF_pairs_+-	1.38	0.038047706271163224
1CDS1	1CDS1_96	490.0	early-S	R1BPeak_All_mm9	1.59	1.4420760656119425
1CDS1	1CDS1_96	490.0	early-S	Bonev_ES_CTCF_pairs_+-	1.37	0.10253461916180308
1CDS1	1CDS1_97	198.0	early-S	R1BPeak_All_mm9	1.38	0.7180887804171742
1CDS1	1CDS1_97	198.0	early-S	Bonev_ES_CTCF_pairs_+-	1.36	0.07623831407315514
1CDS1	1CDS1_102	453.0	early-S	R1BPeak_All_mm9	1.51	0.3973732147948317
1CDS1	1CDS1_102	453.0	early-S	Bonev_ES_CTCF_pairs_+-	1.34	0.03768665549041552
1CDS1	1CDS1_104	487.0	early-S	R1BPeak_All_mm9	1.37	0.2654124809595816
1CDS1	1CDS1_104	487.0	early-S	Bonev_ES_CTCF_pairs_+-	1.33	0.02671713442411249
1CDS1	1CDS1_105	414.0	early-S	R1BPeak_All_mm9	1.36	0.33582285392007694
1CDS1	1CDS1_105	414.0	early-S	Bonev_ES_CTCF_pairs_+-	1.33	0.04297299618069016
1CDS1	1CDS1_106	338.0	early-S	R1BPeak_All_mm9	1.62	0.3520250246564266
1CDS1	1CDS1_106	338.0	early-S	Bonev_ES_CTCF_pairs_+-	1.35	0.03990964368948368
1CDS1	1CDS1_107	425.0	early-S	R1BPeak_All_mm9	1.34	0.36345626470648024
1CDS1	1CDS1_107	425.0	early-S	Bonev_ES_CTCF_pairs_+-	1.36	0.05294573572237785
1CDS1	1CDS1_108	364.0	early-S	R1BPeak_All_mm9	1.52	0.2659384942093119
1CDS1	1CDS1_108	364.0	early-S	Bonev_ES_CTCF_pairs_+-	1.32	0.04283225128426168
1CDS1	1CDS1_112	140.0	G1	R1BPeak_All_mm9	2.02	0.46121511510842583
1CDS1	1CDS1_112	140.0	G1	Bonev_ES_CTCF_pairs_+-	1.4	0.05058703635395317
1CDS1	1CDS1_113	129.0	G1	R1BPeak_All_mm9	1.63	0.38367796993644476
1CDS1	1CDS1_113	129.0	G1	Bonev_ES_CTCF_pairs_+-	1.38	0.06926905022570169
1CDS1	1CDS1_114	171.0	early-S	R1BPeak_All_mm9	1.73	0.42030300890323763
1CDS1	1CDS1_114	171.0	early-S	Bonev_ES_CTCF_pairs_+-	1.28	0.057800479548865406
1CDS1	1CDS1_115	521.0	late-S/G2	R1BPeak_All_mm9	1.42	0.4009627109975525
1CDS1	1CDS1_115	521.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.32	0.04890790958313984
1CDS1	1CDS1_116	668.0	late-S/G2	R1BPeak_All_mm9	1.82	0.30945023840272307
1CDS1	1CDS1_116	668.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.37	0.04618785011297598
1CDS1	1CDS1_117	479.0	early-S	R1BPeak_All_mm9	1.7	0.5096320883139924
1CDS1	1CDS1_117	479.0	early-S	Bonev_ES_CTCF_pairs_+-	1.35	0.06030635854138345
1CDS1	1CDS1_118	15.0	G1	R1BPeak_All_mm9	2.68	0.5100067545982685
1CDS1	1CDS1_118	15.0	G1	Bonev_ES_CTCF_pairs_+-	1.12	0.10698658743073794
1CDS1	1CDS1_122	495.0	early-S	R1BPeak_All_mm9	2.09	0.4657796474455772
1CDS1	1CDS1_122	495.0	early-S	Bonev_ES_CTCF_pairs_+-	1.36	0.04250550996024205
1CDS1	1CDS1_123	18.0	G1	R1BPeak_All_mm9	1.56	0.44711709108075043
1CDS1	1CDS1_123	18.0	G1	Bonev_ES_CTCF_pairs_+-	1.15	0.07020561471180527
1CDS1	1CDS1_124	281.0	early-S	R1BPeak_All_mm9	1.34	0.5486739151705259
