chr	start	end	N	Enrichment1	Enrichment3	CV3	CV5
chr1	4481702	4483872	196	5.44366877846709	3.9779468253805126	0.22595970376012808	0.22408542302336207
chr1	4486846	4487798	196	4.0282102520252625	4.142362710137997	0.25273401862797096	0.2609922638119646
chr1	5008285	5011211	197	2.919199635085312	2.652249381835546	0.5034647647617055	0.4139179746911302
chr1	5906368	5907596	197	2.0210921241321937	2.1729978745505334	0.7806524100748053	0.7467723761165873
chr1	9288768	9290260	197	0.6562780887812261	0.6727727499698808	0.349896961049688	0.28789048822425334
chr1	9787764	9788832	196	1.324118491674336	1.1049442560593161	0.23347496588659306	0.2154782794551656
chr1	9957010	9958504	196	0.9894324540922422	1.070264990212143	0.2532761725631945	0.2654199430240039
chr1	10222068	10223592	197	1.2402361593706335	0.9662849206547158	0.31640496110808397	0.36683740507168666
chr1	12980178	12983018	196	1.614822849178533	1.4857542506796717	0.16131941995577187	0.24180350276275472
chr1	13116370	13116882	196	1.3686685429333763	1.5001048142172975	0.193670651017024	0.4069067974919444
chr1	14745098	14746330	197	1.2592174770038413	1.3642420765950916	0.23607640163739824	0.20927080418565455
chr1	15276373	15277647	197	1.6178256437437035	1.2286496488747103	0.3136323522602146	0.2712109760949745
chr1	17086735	17088275	197	1.7611899074391746	1.5318332712274865	0.18731947718199238	0.27907049968872466
chr1	18047810	18049142	197	1.544994342410106	1.4407588458184666	0.8374827781222851	0.6070714945299012
chr1	19094173	19094995	194	4.59922282378172	3.787969264017701	0.2254933751367976	0.2503004480665311
chr1	19199764	19200516	194	5.778305358316373	4.463207914492073	0.38291192275513164	0.5083686584687154
chr1	19224145	19224411	194	5.494418725189799	4.378658651891438	0.35687827510672315	0.36174473026442205
chr1	19226612	19226978	194	5.213582291801665	4.366025551679231	0.28228581212714027	0.31035464330426177
chr1	21950648	21952472	197	2.065673186881841	1.667112807222006	0.559484927816127	0.44323133995536995
chr1	23768493	23770407	197	2.192811319113448	1.5289328091445522	0.48936681660461556	0.42511881124122947
chr1	24593129	24594405	197	1.25543897204604	1.2198735293788023	0.5610100605119192	0.5976309860381335
chr1	34734652	34735638	196	1.7004244226664291	1.606933922127702	0.22154962075289386	0.20143533529534793
chr1	34807010	34808240	196	1.3132540871867324	1.5705802215796878	0.11294440255551291	0.1571259008183923
chr1	36613445	36615771	197	1.442954901995683	1.7369248814056542	0.15497287050535505	0.15718754088509856
chr1	38683295	38685149	197	1.5754819592322504	1.1961940109816274	0.1496237907874306	0.15085909094944053
chr1	38892423	38894005	197	1.2344947141441924	1.091536059749336	0.12172596384368753	0.11869523402646899
chr1	39249305	39251541	197	1.716680014094485	1.4457589641435014	0.14488438332873071	0.19823691250808992
chr1	39706974	39708254	197	1.2162707164807876	1.3319219230422432	0.17328945369704216	0.18256855521410492
chr1	40382356	40383028	197	1.378499327817913	1.357621128703513	0.12317928174761415	0.16731524480785767
chr1	40737471	40739223	197	2.656088502501405	1.9338536497488512	0.13426468281032278	0.16346299771958928
chr1	42741099	42741985	195	2.8226669091099126	2.4673520335518044	0.20261127874701781	0.21888110023438986
chr1	42750771	42752131	195	4.635575397641916	3.4035403053342783	0.22193517195879836	0.19918290670448463
chr1	42770042	42770678	195	2.4899117875617884	2.3012132517473196	0.13160188296381198	0.1572923335584084
chr1	43220326	43221250	197	0.9736594193487862	0.9012698182650403	0.17871664245166585	0.170233810744304
chr1	50983430	50985034	197	0.9171384811288129	1.062614429856036	0.3227530673553703	0.32522005165555434
chr1	54982342	54983690	197	1.088273904540525	0.9763345430226908	0.15866126642601852	0.16503628284991825
chr1	55419156	55420832	196	1.429311854291679	1.4758372165151075	0.1297193993767158	0.2321168295382257
chr1	55462286	55463838	196	1.6808864553945477	1.5055510497206237	0.20677902611618712	0.19818004728051727
chr1	57026351	57026845	195	4.140600200200178	3.469705840151743	0.2792374889657777	0.2714991172957466
chr1	57033480	57034864	195	4.9714846655799185	3.988039739255407	0.2526054418971479	0.2583002880875363
chr1	57041174	57041584	195	3.3344942692093746	3.1164296393874675	0.2402268039243511	0.2442632840667136
chr1	57831032	57832616	197	1.553982435497169	1.251850786088561	0.21838797466296583	0.21413377009579032
chr1	62749273	62750427	196	0.9659174434276827	0.8640617342736014	0.2644802573553994	0.2772830052947549
chr1	62752010	62754392	196	0.7625381871709079	0.9065092453959609	0.25894319924125947	0.24936884037268936
chr1	63294679	63295369	197	0.8715737867400764	1.0974554023934666	0.20877830820166612	0.1904131813824269
chr1	69152671	69154955	197	1.4360634681642015	1.143987070477204	0.5367444121790269	0.5922449569623379
chr1	72582632	72583860	197	0.9915388325144854	1.0399188429762427	0.12131276237120205	0.12181904492112032
chr1	72918312	72918746	196	1.651296269532759	1.4129111035784918	0.20081787561625275	0.1843929872279277
chr1	72920111	72921337	196	1.2666879300653768	1.2790652969655165	0.22663365439966815	0.20241833540496765
chr1	74083403	74083969	194	0.800015857876559	0.7544068450681242	0.09006475250282736	0.13643702409394998
chr1	74114631	74115621	194	0.9806555287816433	0.8184782704305449	0.09805843441583802	0.10420385634126451
chr1	74144738	74145660	194	1.0072764141808457	0.9890030422055225	0.11879327862332767	0.11344627024046813
chr1	74170669	74171815	194	0.912778408006236	0.8261588360952893	0.09353554817830399	0.11894124568773613
chr1	74817686	74819210	184	1.8793113621009516	1.4413025491366618	0.15167522929486493	0.14568471306334785
chr1	74828757	74829715	184	1.4729370232774066	1.432175699794952	0.11908248837026769	0.12276763255291227
chr1	74830300	74831396	184	1.5497373790745537	1.4357359412199904	0.13339708348360507	0.12463588864747634
chr1	74837817	74838939	184	1.4082163740520557	1.537160291494133	0.12409328711978328	0.12623327285067898
chr1	74840747	74841801	184	1.7122747588154885	1.6632856542589425	0.13391021568980085	0.13096797516246003
chr1	74847001	74847579	184	1.8415617305219412	1.6994988889814127	0.1610971519656868	0.1297662120444726
chr1	74849568	74850510	184	1.68626804615946	1.5311328357939815	0.15462709258737578	0.1246504102056087
chr1	74901036	74903184	184	1.6074438751343525	1.4578808746251917	0.0756114615536041	0.0957565275538595
chr1	74928318	74929798	184	1.986008018837297	1.6938388989309519	0.10335674915813237	0.1472434322270917
chr1	74930945	74932587	183	2.4630595244866362	1.9677569471043448	0.15097325204972634	0.1426871659589927
chr1	74939239	74940273	183	1.9698066703166695	1.95243629339559	0.15280366091582007	0.1484414945664056
chr1	74946956	74947794	183	1.5690254431310535	1.5835542400273614	0.11738227559830561	0.16175648610578222
chr1	74994444	74995208	183	1.4476089214172974	1.3274199016911696	0.14220000383263315	0.1210206219035031
chr1	74996274	74998942	183	1.528872290612948	1.3065067885768586	0.12822884738414148	0.12044519013196545
chr1	75137883	75138641	192	1.1807647436115498	1.0428607944905308	0.08587284211656006	0.08380954444695995
chr1	75384182	75385830	193	1.2939877264877977	1.1773291430928752	0.0996650405941529	0.11586618182450913
chr1	75418471	75420203	193	1.2937444717068156	1.224321227657586	0.0905844486200469	0.08828856688459186
chr1	75445659	75445933	193	1.8311735853982352	1.4453885936881248	0.09280670135998181	0.08903163104097417
chr1	75454933	75455451	193	1.3055895919251472	1.300321314135826	0.10223134251426105	0.09117953799214928
chr1	75500129	75500593	193	1.0503644661212999	1.0438245104772348	0.06833844060581326	0.09777919622365873
chr1	77509987	77510489	197	1.0060759104894874	0.9476344989012334	0.1304027172645475	0.14435510840514834
chr1	78186123	78186689	192	4.017043733200427	3.583256399603824	0.17317684610432627	0.14552845994633123
chr1	78191787	78192017	192	4.735240122245978	3.978056338469165	0.1451444616861363	0.15892616933243922
chr1	78198044	78198502	192	4.393679262128596	3.9916787127642315	0.15061314801418954	0.1663625891081279
chr1	78200227	78200781	192	3.8924755021158677	3.7858671233356467	0.17480627526417633	0.16370005580439806
chr1	78212453	78214811	192	3.9821821073309867	3.254797058405856	0.18686500436166953	0.16354293360644626
chr1	78306544	78307588	191	2.55739831049446	2.0721085830948454	0.1729647148622297	0.1922170823929091
chr1	78508288	78508734	196	1.7660585651673035	1.4927585249338706	0.23354858243762033	0.24847215254829952
chr1	79854643	79855865	197	1.3014064097200204	1.0816267894491198	0.20228284273269023	0.4085229534698776
chr1	80754481	80755459	197	1.3644041983886437	1.311771213686841	0.23059380465001306	0.2236243363517334
chr1	82285350	82288582	197	2.6791350252615223	1.975441999380705	0.18173629719006407	0.2749765203607809
chr1	87914616	87915480	196	1.1941926030710923	1.215655782055927	0.1435400243683127	0.1469834958522697
chr1	87942246	87943362	196	1.6257929064818952	1.335418023594742	0.11359661654571791	0.1540702158617778
chr1	88566050	88567604	197	1.2771699204193654	1.2414405301097786	0.25861792133555894	0.2817830255610448
chr1	89050025	89051699	195	2.1323660208215114	1.705689868522662	0.11032431187251127	0.1500035661733826
chr1	89082960	89083844	195	1.3342520909675302	1.3335197060744721	0.11705809639338133	0.11120810283606745
