chr	start	end	Enrichment1	Enrichment3	CV3	CV5
chr1	3521705	3522001	1.2547354688673673	1.2560168217673024	0.19217555715885828	0.19205079457125457
chr1	3660535	3662757	1.4804671260522766	1.3564775588348892	0.5071486231273006	0.39704967149977155
chr1	4342402	4342646	0.8466265956648691	0.8821585554847482	0.7231651250584943	0.5191426928552179
chr1	4481702	4483872	2.1330968583148873	1.8570557570156825	0.09350224874461775	0.10300124951151245
chr1	4486846	4487798	1.862195513126458	1.8862534867433913	0.10831874442946217	0.10517192660178708
chr1	4561582	4562290	1.1774610652697655	1.2001322850331337	0.18043459901235157	0.19451275315028727
chr1	4678211	4678557	1.173569954862842	1.175414164700103	0.0563856681850227	0.07182468909484305
chr1	4775462	4776078	1.366117860641657	1.4459990268238612	0.08226352902226673	0.08571960893158904
chr1	4797523	4798375	1.3161809116440144	1.3679273780737302	0.12529608616667234	0.09866702203586164
chr1	4847490	4848556	1.4456023106911222	1.4348332988354573	0.1970339558313124	0.19666311494410682
chr1	5008285	5011211	1.5842415212256786	1.515323229510627	0.45925611093617963	0.34947238982672074
chr1	5012901	5013139	1.7110571152742786	1.5518970634988722	0.46183945400572324	0.34818047682087044
chr1	5073003	5073623	0.0	0.9897465455580109	0.1486358938410096	0.1529844454163124
chr1	5906368	5907596	1.3128393417421034	1.5050450028361875	0.7156968328101343	0.6821128558889401
chr1	6204212	6205672	1.5054164029599661	1.468864985322645	0.1246005984264641	0.11686428635571061
chr1	6349112	6349618	1.2618238223062495	1.2810357673558062	0.10911509776467333	0.3538054045226191
chr1	6372848	6373372	1.1800875397876087	1.1123686465981721	0.15066259973976442	0.161453474792539
chr1	6430940	6431964	1.3541664690672612	0.8563834693155061	0.20642736696488548	0.2251193380649222
chr1	7078468	7079524	1.8565661390414798	1.085976974865502	0.09851277272017085	0.11141163639555395
chr1	7387762	7388790	1.5195270795916758	1.330758250892706	0.10893980293832385	0.5143123954222988
chr1	9288768	9290260	0.9815514175611285	0.8956505397453893	0.10280873169222801	0.09445682094087314
chr1	9535129	9536319	0.9860988961094906	1.20150284778537	0.11582649963187189	0.1311621858597037
chr1	9639391	9639549	1.0895838901675807	1.0835746219645666	0.12589791162103578	0.10845482761329127
chr1	9689746	9691182	1.484602490914894	1.3995059587633645	0.10696716395272182	0.14983465313017924
chr1	9737535	9738829	1.332635870815114	1.4217417376616168	0.09326572060503778	0.0906724121892741
chr1	9787764	9788832	1.5954359402725788	1.4380683269082144	0.07719920443747698	0.0859305991173144
chr1	9838120	9838856	1.2986160448053214	1.2525245236264853	0.07017521721243046	0.06861396401276498
chr1	9933770	9934566	1.5412008318390429	1.469484356321701	0.06734934428036768	0.0771965496424376
chr1	9957010	9958504	1.4830450741430663	1.5138418488235692	0.06167906789514928	0.060954206368103524
chr1	10027637	10028523	1.5177725386565466	1.441833421296422	0.07631484639534551	0.09091901186410449
chr1	10029603	10030407	1.392031371004987	1.4088179245465424	0.09334477552004604	0.09409477171092588
chr1	10222068	10223592	1.1883897178438665	1.0499138322475354	0.2585589779237479	0.27807807269218027
chr1	10983345	10984191	1.3499369674457842	1.2253928120807396	0.4658529687340262	0.5331053907818347
chr1	11319635	11319847	1.2504821135210689	1.2223301521784264	0.17394773352377743	0.1518191076033699
chr1	11403957	11404699	1.3150888201339135	1.248309051359771	0.1218872263267543	0.12360216023167896
chr1	12826113	12826339	1.0935473654618608	1.0521215294975415	0.08378875208496496	0.08705212482792071
chr1	12980178	12983018	1.53134698106056	1.3979577458395642	0.10641148533494987	0.09316777554097232
chr1	13116370	13116882	1.5307810191901927	1.5168998086441479	0.08505657937673979	0.3460116528467338
chr1	13362295	13364973	1.6509283140810196	1.5673218345917133	0.0934037610777972	0.11660496913999914
chr1	13521763	13521923	1.4401317346053255	1.4576330712157146	0.0999208812926489	0.08921311919054621
chr1	13579165	13580409	1.4811846312835713	1.5258203368594099	0.09146393843387378	0.10603560025882143
chr1	13650146	13650854	1.7259312560560085	1.5759455212653113	0.08836644332073267	0.10560545054873621
chr1	14299749	14300241	1.193465223303294	1.2183997208950592	0.05595367680141851	0.08985381284632446
chr1	14496483	14497331	1.3486448685857217	1.1828631314080758	0.108820562401617	0.10405019992073664
chr1	14745098	14746330	1.4970685613964618	1.3216395734689292	0.10915152354911736	0.10212828092540684
