chr	start	end	N	Enrichment1	Enrichment3	CV3	CV5
chr1	3521705	3522001	976	1.2556975625841804	1.2590566707238489	0.1803824925015743	0.18509417776524012
chr1	3660535	3662757	976	1.4734282409093962	1.3616074283618014	0.5421858794530438	0.4163444731866418
chr1	4342402	4342646	977	0.9620089687504312	0.9709752962938742	0.725725046163109	0.5204521685498585
chr1	4561582	4562290	976	1.0504695356522926	1.0895409401587517	0.19693473143486917	0.2190122786311451
chr1	4678211	4678557	973	1.0819173913815692	1.2472302584471202	0.1332137297279784	0.1617713026871641
chr1	4775462	4776078	974	1.4774796369343586	1.5319550046861339	0.13763911127226916	0.12118236094062843
chr1	4797523	4798375	974	1.4227185226210448	1.5617502923567872	0.1277377968517214	0.10843090444059812
chr1	4847490	4848556	973	1.626894642619566	1.6358413769574798	0.13644151259694456	0.18966725942816015
chr1	5012901	5013139	975	1.4037159201462617	1.3460459019499194	0.4667726833653636	0.3493701761920675
chr1	5073003	5073623	976	0.0	0.9283390827579368	0.17130438699869566	0.15921028231430293
chr1	6204212	6205672	975	1.4580478171829023	1.5328991059377928	0.1724682615425475	0.14525493587100285
chr1	6349112	6349618	974	1.2571823474432935	1.3075118741220142	0.11603885443400125	0.3624858989401803
chr1	6372848	6373372	974	1.1304639495150322	1.0829931234265668	0.17263910657904324	0.17325986844268165
chr1	6430940	6431964	975	1.4116669925343317	0.8474255517822232	0.22474204325870528	0.23515018607648863
chr1	7078468	7079524	977	1.902657196578621	1.088461198069243	0.1096414361830841	0.12631089683167773
chr1	7387762	7388790	977	1.578148476233437	1.3209064202812733	0.10724052249432393	0.5156707659314818
chr1	9535129	9536319	974	1.109419190911258	1.2877643665951397	0.1958158180497041	0.19603884769727126
chr1	9639391	9639549	973	1.4413535645484012	1.3992196066821732	0.17708169942406957	0.1645258839009301
chr1	9689746	9691182	973	1.9164340136814009	1.5857133098013556	0.10204158510509193	0.13677607059959065
chr1	9737535	9738829	972	1.6066957292055009	1.7478451584657453	0.07627390444812918	0.0896004822466746
chr1	9838120	9838856	971	1.643947570942844	1.5106400801116728	0.1285329649759244	0.12325590952347852
chr1	9933770	9934566	973	1.7030097736734007	1.602087666358127	0.1229647062710817	0.12218969951078232
chr1	10027637	10028523	974	1.7338112091917603	1.6213169419021678	0.06905992146602559	0.07835091434562684
chr1	10029603	10030407	974	1.6472514517644679	1.6438999787679178	0.07969694734135789	0.0787502915639133
chr1	10983345	10984191	977	1.326629584594908	1.2356397912265717	0.467846284249423	0.5374315004532046
chr1	11319635	11319847	976	1.2655849199129021	1.2406616942288666	0.20168920410352673	0.16494930050183912
chr1	11403957	11404699	976	1.4169574072835454	1.2615585767729105	0.12738883128545042	0.13212830811092263
chr1	12826113	12826339	977	1.175968489813123	1.069116650061253	0.08635767349908414	0.10010392594460484
chr1	13362295	13364973	976	1.4593991127965442	1.4697897334234964	0.11559844357859894	0.1287989918108393
chr1	13521763	13521923	974	1.3271520917269357	1.2712120216498548	0.15672689743932544	0.15782824833969095
chr1	13579165	13580409	975	1.4711908384741723	1.571762630329611	0.10285361031530671	0.12370299973129499
chr1	13650146	13650854	975	2.0410150484563188	1.7218903567282067	0.09558476955745338	0.10709696035675262
chr1	14299749	14300241	976	1.1327917516764126	1.1891719569396524	0.08565141733337991	0.10704963080770179
chr1	14496483	14497331	976	1.290899473802016	1.1872108413154687	0.12112776664344967	0.10871144994139194
chr1	14908671	14909003	977	1.3306196343827592	1.1714923561882244	0.12674538875806549	0.12469322850619474
chr1	15641198	15641458	976	1.1836259451373508	1.1895969273133247	0.48276904189771264	0.39893600686197284
chr1	15795558	15796452	975	1.4768302534951014	1.5403412268570718	0.08908413556781658	0.09431634669982056
chr1	15882386	15883122	975	1.2015027119266444	1.203996067073727	0.05878839380839289	0.10292011003046425
chr1	16082891	16083575	975	1.315616807051938	1.4660857304512138	0.11177097921018586	0.103981176527761
chr1	16094184	16096604	976	1.3685466614595398	1.520536608937913	0.09681011261424037	0.09764428795997857
chr1	16508615	16510273	974	1.1165303682381171	1.4003155313451783	0.12181743305147658	0.11903013066983319
chr1	16608553	16609661	974	1.6280448321845187	1.5729117720281982	0.4668990839163829	0.35605276859961055
chr1	16646530	16647310	974	1.7357250106980715	1.7005076577668725	0.13394403738563596	0.366616018020595
chr1	16655078	16655770	974	1.8007378553921713	1.6277579675639913	0.15134562018261705	0.13950219720568294
chr1	17081628	17082170	976	1.6218846672223322	1.6046988296849258	0.1163367722250085	0.1431355923040964
chr1	17135424	17135880	976	1.2383115175590071	1.1629019352395977	0.12223865959598229	0.11061289830106463
chr1	19087027	19087249	977	1.5525741663830135	1.4385933411029415	0.14866382529854735	0.12856391169844306
chr1	20809957	20810491	974	1.6177986699811437	1.5363886042670434	0.15685546746141682	0.13381856832262523
chr1	20880484	20881472	973	1.7360944478250884	1.5537219946954564	0.0751548910391594	0.09701957044197546
chr1	20924670	20925670	973	1.944248538775539	1.939128656785623	0.12426874992644694	0.13750807450224284
chr1	20941610	20942136	973	1.5113869194148146	1.6065930200673035	0.09997702791588974	0.1428153899107074
